iter	Passed	Remaining
0	148	148480
1	151	75583
2	154	51503
3	157	39279
4	160	31956
5	164	27240
6	165	23501
7	166	20676
8	168	18500
9	169	16754
10	170	15310
11	171	14112
12	172	13099
13	173	12226
14	174	11490
15	176	10827
16	177	10239
17	178	9716
18	179	9248
19	180	8828
20	181	8451
21	182	8104
22	183	7787
23	184	7496
24	185	7228
25	186	6981
26	187	6752
27	188	6543
28	189	6332
29	189	6137
30	190	5951
31	190	5777
32	191	5613
33	192	5460
34	192	5314
35	193	5177
36	193	5049
37	194	4926
38	195	4809
39	195	4698
40	196	4592
41	196	4491
42	197	4396
43	198	4307
44	198	4221
45	199	4139
46	200	4058
47	200	3981
48	201	3907
49	201	3836
50	202	3769
51	203	3703
52	203	3640
53	204	3578
54	204	3520
55	205	3463
56	206	3409
57	206	3356
58	207	3307
59	207	3257
60	208	3209
61	209	3163
62	209	3118
63	210	3075
64	210	3033
65	211	2992
66	212	2952
67	212	2913
68	213	2876
69	213	2839
70	214	2804
71	214	2769
72	215	2736
73	216	2703
74	216	2673
75	217	2642
76	217	2612
77	218	2582
78	219	2554
79	219	2526
80	220	2498
81	220	2471
82	221	2443
83	222	2421
84	222	2400
85	223	2376
86	224	2354
87	224	2331
88	225	2308
89	226	2286
90	226	2264
91	227	2243
92	227	2222
93	228	2202
94	229	2181
95	229	2162
96	230	2142
97	230	2124
98	231	2109
99	232	2093
100	233	2076
101	234	2060
102	234	2044
103	235	2029
104	236	2014
105	236	1998
106	237	1982
107	238	1966
108	238	1951
109	239	1935
110	239	1920
111	240	1906
112	241	1891
113	241	1877
114	242	1863
115	242	1849
116	243	1835
117	243	1822
118	244	1809
119	244	1796
120	245	1783
121	246	1773
122	246	1761
123	247	1749
124	248	1737
125	248	1725
126	249	1712
127	249	1701
128	250	1690
129	250	1679
130	251	1668
131	252	1658
132	252	1647
133	253	1636
134	253	1626
135	254	1616
136	255	1606
137	255	1596
138	256	1587
139	256	1577
140	257	1568
141	257	1557
142	258	1548
143	258	1539
144	259	1530
145	260	1521
146	260	1512
147	261	1504
148	261	1495
149	262	1487
150	263	1479
151	263	1472
152	264	1464
153	265	1455
154	265	1448
155	266	1440
156	266	1432
157	267	1424
158	267	1417
159	268	1411
160	269	1403
161	269	1396
162	270	1389
163	271	1382
164	271	1374
165	272	1368
166	272	1361
167	273	1354
168	274	1347
169	274	1340
170	275	1334
171	276	1329
172	277	1324
173	277	1318
174	278	1311
175	278	1305
176	279	1299
177	280	1293
178	280	1287
179	281	1280
180	281	1274
181	282	1268
182	282	1263
183	283	1257
184	284	1251
185	284	1245
186	285	1239
187	285	1234
188	286	1228
189	286	1223
190	287	1217
191	288	1212
192	288	1207
193	289	1201
194	289	1196
195	290	1192
196	291	1188
197	292	1183
198	292	1178
199	293	1173
200	294	1168
201	294	1163
202	295	1158
203	295	1154
204	296	1149
205	296	1144
206	297	1139
207	298	1135
208	298	1130
209	299	1125
210	299	1121
211	300	1116
212	301	1112
213	301	1108
214	302	1103
215	302	1099
216	303	1094
217	303	1090
218	304	1085
219	305	1082
220	306	1079
221	306	1075
222	307	1071
223	308	1067
224	308	1063
225	309	1059
226	309	1055
227	310	1051
228	311	1047
229	311	1043
230	312	1039
231	312	1035
232	313	1031
233	313	1027
234	314	1023
235	315	1020
236	315	1016
237	316	1012
238	316	1008
239	317	1005
240	317	1001
241	318	998
242	319	994
243	320	992
244	321	989
245	321	986
246	322	982
247	322	979
248	323	975
249	324	972
250	324	968
251	325	965
252	325	962
253	326	958
254	326	955
255	327	951
256	328	948
257	328	945
258	329	942
259	329	938
260	330	935
261	331	932
262	331	929
263	332	926
264	333	923
265	333	920
266	334	918
267	335	916
268	336	913
269	336	910
270	337	907
271	338	904
272	338	901
273	339	898
274	339	895
275	340	892
276	340	889
277	341	886
278	342	883
279	342	881
280	343	878
281	343	875
282	344	872
283	344	869
284	345	866
285	346	864
286	346	861
287	347	858
288	348	856
289	348	853
290	349	851
291	350	849
292	351	847
293	351	844
294	352	842
295	352	839
296	353	836
297	354	834
298	354	831
299	355	829
300	355	826
301	356	824
302	357	821
303	357	818
304	358	816
305	358	813
306	359	811
307	359	808
308	360	806
309	361	804
310	361	801
311	362	799
312	363	797
313	363	795
314	364	793
315	365	791
316	366	788
317	366	786
318	367	784
319	368	782
320	368	779
321	369	777
322	369	775
323	370	773
324	371	772
325	372	770
326	373	767
327	373	765
328	374	763
329	375	761
330	375	759
331	376	756
332	376	754
333	377	752
334	377	750
335	378	748
336	379	747
337	380	745
338	381	742
339	381	740
340	382	738
341	382	736
342	383	734
343	383	732
344	384	730
345	385	727
346	385	725
347	386	723
348	386	721
349	387	719
350	387	717
351	388	715
352	389	713
353	389	711
354	390	709
355	390	707
356	391	705
357	392	703
358	392	701
359	393	699
360	394	698
361	395	696
362	395	694
363	396	692
364	397	690
365	397	688
366	398	686
367	398	684
368	399	682
369	399	681
370	400	679
371	401	677
372	401	675
373	402	673
374	402	671
375	403	669
376	404	667
377	404	665
378	405	663
379	405	662
380	406	660
381	406	658
382	407	656
383	408	654
384	409	653
385	410	652
386	410	650
387	411	648
388	411	646
389	412	645
390	412	643
391	413	641
392	414	639
393	414	637
394	415	636
395	415	634
396	416	632
397	417	630
398	417	629
399	418	627
400	418	625
401	419	624
402	420	622
403	420	620
404	421	618
405	421	617
406	422	615
407	423	614
408	424	612
409	424	611
410	425	609
411	425	607
412	426	606
413	427	604
414	427	602
415	428	601
416	428	599
417	429	597
418	429	596
419	430	594
420	431	592
421	431	591
422	432	589
423	432	588
424	433	586
425	434	584
426	434	583
427	435	581
428	435	580
429	436	578
430	436	576
431	437	575
432	438	574
433	439	573
434	440	571
435	440	570
436	441	568
437	441	567
438	442	565
439	443	563
440	443	562
441	444	560
442	444	559
443	445	557
444	446	556
445	446	554
446	447	553
447	447	551
448	448	550
449	448	548
450	449	547
451	450	545
452	450	544
453	451	542
454	451	541
455	452	540
456	453	538
457	454	537
458	454	536
459	455	534
460	456	533
461	456	531
462	457	530
463	457	528
464	458	527
465	458	525
466	459	524
467	460	523
468	460	521
469	461	520
470	462	519
471	462	517
472	463	516
473	464	515
474	464	513
475	465	512
476	465	510
477	466	509
478	467	507
479	468	507
480	468	505
481	469	504
482	470	503
483	470	501
484	471	500
485	471	499
486	472	497
487	473	496
488	474	495
489	474	494
490	475	492
491	476	491
492	476	490
493	477	489
494	478	487
495	478	486
496	479	485
497	480	484
498	480	482
499	481	481
500	483	481
501	484	480
502	484	479
503	485	478
504	486	476
505	487	475
506	488	474
507	488	473
508	489	472
509	490	470
510	490	469
511	491	468
512	491	466
513	492	465
514	492	464
515	493	462
516	494	461
517	494	460
518	495	458
519	495	457
520	496	456
521	497	455
522	498	454
523	498	453
524	499	452
525	500	450
526	500	449
527	501	448
528	502	447
529	502	445
530	503	444
531	503	443
532	504	441
533	504	440
534	505	439
535	506	438
536	506	436
537	507	435
538	507	434
539	508	433
540	508	431
541	509	430
542	510	429
543	510	428
544	511	426
545	512	426
546	513	425
547	513	423
548	514	422
549	515	421
550	516	420
551	516	419
552	517	418
553	518	417
554	518	416
555	519	414
556	520	413
557	520	412
558	521	411
559	521	410
560	522	408
561	523	407
562	523	406
563	524	405
564	524	404
565	525	402
566	525	401
567	526	400
568	528	400
569	528	398
570	529	397
571	530	396
572	530	395
573	531	394
574	531	393
575	532	391
576	533	390
577	533	389
578	534	388
579	534	387
580	535	386
581	535	384
582	536	383
583	537	382
584	537	381
585	538	380
586	538	379
587	539	377
588	540	376
589	540	375
590	541	374
591	542	373
592	542	372
593	543	371
594	544	370
595	544	369
596	545	368
597	545	366
598	546	365
599	546	364
600	547	363
601	548	362
602	548	361
603	549	360
604	549	358
605	550	357
606	550	356
607	551	355
608	552	354
609	552	353
610	553	352
611	553	351
612	554	349
613	554	348
614	555	347
615	556	346
616	557	345
617	557	344
618	558	343
619	558	342
620	559	341
621	560	340
622	560	339
623	561	338
624	561	337
625	562	335
626	562	334
627	563	333
628	564	332
629	564	331
630	565	330
631	565	329
632	566	328
633	566	327
634	567	326
635	568	325
636	568	324
637	569	322
638	569	321
639	570	320
640	571	319
641	571	318
642	572	317
643	572	316
644	573	315
645	574	314
646	574	313
647	575	312
648	575	311
649	576	310
650	577	309
651	577	308
652	578	307
653	578	306
654	579	305
655	579	304
656	580	303
657	581	301
658	581	300
659	582	299
660	582	298
661	583	297
662	583	296
663	584	295
664	585	294
665	585	293
666	586	292
667	587	291
668	587	290
669	588	289
670	588	288
671	589	287
672	590	286
673	590	285
674	591	284
675	591	283
676	592	282
677	592	281
678	593	280
679	594	279
680	594	278
681	595	277
682	595	276
683	596	275
684	596	274
685	597	273
686	598	272
687	598	271
688	599	270
689	599	269
690	600	268
691	601	267
692	601	266
693	602	265
694	602	264
695	603	263
696	604	262
697	604	261
698	605	260
699	605	259
700	606	258
701	606	257
702	607	256
703	608	255
704	608	254
705	609	253
706	609	252
707	610	251
708	610	250
709	611	249
710	612	248
711	612	247
712	613	246
713	613	245
714	614	244
715	615	244
716	615	243
717	616	242
718	616	241
719	617	240
720	618	239
721	618	238
722	619	237
723	619	236
724	620	235
725	620	234
726	621	233
727	622	232
728	622	231
729	623	230
730	623	229
731	624	228
732	624	227
733	625	226
734	626	225
735	626	224
736	627	223
737	627	222
738	628	221
739	629	221
740	629	220
741	630	219
742	630	218
743	631	217
744	631	216
745	632	215
746	633	214
747	633	213
748	634	212
749	634	211
750	635	210
751	636	209
752	636	208
753	637	207
754	637	206
755	638	206
756	638	205
757	639	204
758	640	203
759	640	202
760	641	201
761	641	200
762	642	199
763	642	198
764	643	197
765	644	196
766	644	195
767	645	194
768	645	194
769	646	193
770	647	192
771	647	191
772	648	190
773	648	189
774	649	188
775	649	187
776	650	186
777	651	185
778	651	184
779	652	183
780	652	183
781	653	182
782	653	181
783	654	180
784	655	179
785	655	178
786	656	177
787	656	176
788	657	175
789	657	174
790	658	173
791	659	173
792	659	172
793	660	171
794	660	170
795	661	169
796	661	168
797	662	167
798	663	166
799	663	165
800	664	165
801	664	164
802	665	163
803	665	162
804	666	161
805	667	160
806	667	159
807	668	158
808	668	157
809	669	157
810	670	156
811	670	155
812	671	154
813	671	153
814	672	152
815	672	151
816	673	150
817	674	150
818	674	149
819	675	148
820	676	147
821	676	146
822	677	145
823	677	144
824	678	143
825	678	143
826	679	142
827	680	141
828	680	140
829	681	139
830	681	138
831	682	137
832	683	136
833	683	136
834	684	135
835	684	134
836	685	133
837	685	132
838	686	131
839	687	130
840	687	130
841	688	129
842	689	128
843	689	127
844	690	126
845	690	125
846	691	124
847	692	124
848	692	123
849	693	122
850	693	121
851	694	120
852	694	119
853	695	118
854	696	118
855	697	117
856	697	116
857	698	115
858	699	114
859	701	114
860	702	113
861	703	112
862	704	111
863	705	111
864	705	110
865	706	109
866	707	108
867	707	107
868	708	106
869	708	105
870	709	105
871	710	104
872	710	103
873	711	102
874	712	101
875	712	100
876	713	100
877	713	99
878	714	98
879	714	97
880	715	96
881	716	95
882	716	94
883	717	94
884	717	93
885	718	92
886	719	91
887	720	90
888	721	90
889	721	89
890	722	88
891	722	87
892	723	86
893	724	85
894	724	85
895	725	84
896	725	83
897	726	82
898	726	81
899	727	80
900	728	80
901	728	79
902	729	78
903	730	77
904	730	76
905	731	75
906	731	75
907	732	74
908	733	73
909	734	72
910	735	71
911	735	70
912	736	70
913	736	69
914	737	68
915	738	67
916	738	66
917	739	66
918	739	65
919	740	64
920	740	63
921	741	62
922	742	61
923	742	61
924	743	60
925	743	59
926	744	58
927	745	57
928	745	56
929	746	56
930	746	55
931	747	54
932	747	53
933	749	52
934	749	52
935	750	51
936	751	50
937	751	49
938	752	48
939	753	48
940	753	47
941	754	46
942	754	45
943	755	44
944	755	43
945	756	43
946	757	42
947	757	41
948	758	40
949	758	39
950	759	39
951	759	38
952	760	37
953	761	36
954	761	35
955	762	35
956	762	34
957	764	33
958	764	32
959	765	31
960	766	31
961	766	30
962	767	29
963	768	28
964	768	27
965	769	27
966	769	26
967	770	25
968	770	24
969	771	23
970	772	23
971	772	22
972	773	21
973	773	20
974	774	19
975	774	19
976	775	18
977	776	17
978	776	16
979	777	15
980	778	15
981	779	14
982	780	13
983	781	12
984	781	11
985	782	11
986	782	10
987	783	9
988	784	8
989	784	7
990	785	7
991	785	6
992	786	5
993	786	4
994	787	3
995	788	3
996	788	2
997	789	1
998	789	0
999	790	0
